id,X,Y,group
0,304015.1622,2768330.6624,5
1,303998.4649,2768096.0993,5
2,303908.04245,2767913.96285,12
3,304026.05345,2767873.4062,12
4,304154.42595,2768294.1521,4
5,304237.2778,2768274.12545,4
6,304347.0675,2768217.56775,5
7,304167.16705,2767962.36115,12
8,304203.09515,2767939.8896,12
9,304174.026,2767840.8625,12
10,304356.2236,2768074.2986,5
11,304353.75048,2768008.45883,5
12,304327.5532,2767893.1162,1
13,304459.8072,2768192.63345,12
14,304442.36785,2768089.6961,5
15,304568.03638,2768119.52658,7
16,304639.25862,2768161.42048,7
17,304449.66325,2767889.27375,1
18,304551.468,2767788.2378,6
19,303959.49795,2767747.4182,12
20,304085.0641,2767759.2218,12
21,303967.7304,2767582.1442,3
22,304023.4417,2767682.239,12
23,304102.7422,2767572.9307,3
24,304154.1162,2767698.69715,12
25,304176.29998,2767581.87198,3
26,304275.81307,2767666.54573,1
27,304411.71227,2767736.82173,1
28,304465.41905,2767743.68165,1
29,304240.14305,2767506.1552,3
30,304353.47395,2767592.09995,1
31,304396.9366,2767487.0032,10
32,304481.94815,2767417.8795,10
33,304341.06953,2767427.29698,1
34,304193.4452,2767323.5453,11
35,304837.5769,2768147.1276,2
36,304699.48205,2768036.889,6
37,304666.7554,2767937.8913,6
38,304791.68465,2768014.9868,6
39,304782.9013,2767912.35355,8
40,304975.67505,2768129.9318,6
41,304942.1799,2767913.2142,9
42,304831.35395,2767614.99975,10
43,305101.9174,2767795.1977,9
44,305211.51395,2767641.1972,8
45,305013.3871,2767220.4254,8
46,305197.3889,2767396.0403,8
