id,X,Y,group
0,303908.04245,2767913.96285,12
1,304026.05345,2767873.4062,12
2,304154.42595,2768294.1521,5
3,304237.2778,2768274.12545,5
4,304347.0675,2768217.56775,4
5,304167.16705,2767962.36115,12
6,304239.7571,2767937.1799,12
7,304343.68925,2768094.7778,4
8,304353.75048,2768008.45883,1
9,304327.5532,2767893.1162,12
10,304459.8072,2768192.63345,4
11,304442.36785,2768089.6961,1
12,304568.03638,2768119.52658,7
13,304639.25862,2768161.42048,7
14,304449.66325,2767889.27375,1
15,304551.468,2767788.2378,6
16,303983.29678,2767723.61938,12
17,304154.1162,2767698.69715,12
18,304176.29998,2767581.87198,3
19,304275.81307,2767666.54573,0
20,304411.71227,2767736.82173,6
21,304465.41905,2767743.68165,1
22,304288.47805,2767461.5336,11
23,304353.47395,2767592.09995,1
24,304396.9366,2767487.0032,10
25,304481.94815,2767417.8795,10
26,304371.34615,2767383.51955,0
27,304837.5769,2768147.1276,6
28,304699.48205,2768036.889,6
29,304666.7554,2767937.8913,6
30,304791.68465,2768014.9868,6
31,304782.9013,2767912.35355,9
32,304975.67505,2768129.9318,6
33,304942.1799,2767913.2142,9
34,304831.35395,2767614.99975,10
35,305211.51395,2767641.1972,8
36,305013.3871,2767220.4254,8
37,305197.3889,2767396.0403,8
