id,X,Y,group
0,303908.04245,2767913.96285,12
1,304154.42595,2768294.1521,11
2,304237.2778,2768274.12545,4
3,304203.09515,2767939.8896,11
4,304356.2236,2768074.2986,11
5,304353.75048,2768008.45883,1
6,304327.5532,2767893.1162,1
7,304568.03638,2768119.52658,7
8,304639.25862,2768161.42048,2
9,304449.66325,2767889.27375,1
10,303983.29678,2767723.61938,12
11,304154.1162,2767698.69715,12
12,304176.29998,2767581.87198,3
13,304275.81307,2767666.54573,11
14,304411.71227,2767736.82173,6
15,304353.47395,2767592.09995,11
16,304352.44575,2767442.13375,3
17,304699.48205,2768036.889,6
18,304785.2436,2767944.90635,6
19,304866.3012,2768165.9403,6
20,304942.1799,2767913.2142,9
21,304831.35395,2767614.99975,11
